Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,41,004,4,Afghanistan,0,1163,-,-,1163,5.6,2.9,0.65
ALB,41,008,8,Albania,0,522,-,-,522,10.2,18.2,1.2
DZA,41,012,12,Algeria,0,7747,-,-,7747,17.1,17.1,2.0
AGO,41,024,24,Angola,0,805,-,-,805,4.6,2.3,0.50
AZE,41,031,31,Azerbaijan,0,1741,-,-,1741,14.2,16.9,1.7
ARG,41,032,32,Argentina,0,15863,-,-,15863,24.2,34.5,2.8
AUS,41,036,36,Australia,0,17088,-,-,17088,34.6,65.6,3.7
AUT,41,040,40,Austria,0,4539,-,-,4539,21.8,50.1,2.6
BHS,41,044,44,Bahamas,0,96,-,-,96,19.3,24.0,2.0
BHR,41,048,48,Bahrain,0,157,-,-,157,13.5,8.8,1.6
BGD,41,050,50,Bangladesh,0,5723,-,-,5723,3.6,3.4,0.40
ARM,41,051,51,Armenia,0,1127,-,-,1127,22.0,37.9,2.7
BRB,41,052,52,Barbados,0,148,-,-,148,24.7,51.4,2.8
BEL,41,056,56,Belgium,0,7949,-,-,7949,29.2,68.1,3.4
BTN,41,064,64,Bhutan,0,30,-,-,30,4.2,3.8,0.50
BOL,41,068,68,Bolivia (Plurinational State of),0,701,-,-,701,6.0,5.9,0.77
BIH,41,070,70,Bosnia Herzegovina,0,1855,-,-,1855,26.3,57.1,3.2
BWA,41,072,72,Botswana,0,89,-,-,89,4.5,3.7,0.50
BRA,41,076,76,Brazil,0,60118,-,-,60118,19.8,27.9,2.2
BLZ,41,084,84,Belize,0,21,-,-,21,6.0,5.1,0.66
SLB,41,090,90,Solomon Islands,0,19,-,-,19,4.6,2.6,0.55
BRN,41,096,96,Brunei Darussalam,0,153,-,-,153,31.8,34.4,3.6
BGR,41,100,100,Bulgaria,0,5086,-,-,5086,30.2,74.3,3.8
MMR,41,104,104,Myanmar,0,5552,-,-,5552,9.9,10.1,1.1
BDI,41,108,108,Burundi,0,359,-,-,359,6.4,2.8,0.74
BLR,41,112,112,Belarus,0,6160,-,-,6160,32.7,65.3,4.2
KHM,41,116,116,Cambodia,0,1726,-,-,1726,12.6,10.1,1.4
CMR,41,120,120,Cameroon,0,916,-,-,916,6.3,3.3,0.72
CAN,41,124,124,Canada,0,23725,-,-,23725,28.6,61.8,3.2
CPV,41,132,132,Cape Verde,0,28,-,-,28,5.5,4.9,0.65
CAF,41,140,140,Central African Republic,0,153,-,-,153,5.7,3.1,0.60
LKA,41,144,144,Sri Lanka,0,2540,-,-,2540,7.8,11.8,0.93
TCD,41,148,148,Chad,0,228,-,-,228,2.3,1.3,0.22
CHL,41,152,152,Chile,0,6778,-,-,6778,20.3,35.2,2.3
CHN,41,156,160,China,0,517106,-,-,517106,20.1,36.6,2.4
COL,41,170,170,Colombia,0,11163,-,-,11163,16.4,21.7,1.9
COM,41,174,174,Comoros,0,17,-,-,17,3.7,1.9,0.56
COG,41,178,178,"Congo, Republic of",0,168,-,-,168,4.8,2.9,0.56
COD,41,180,180,"Congo, Democratic Republic of",0,2961,-,-,2961,6.0,3.1,0.68
CRI,41,188,188,Costa Rica,0,1121,-,-,1121,14.3,21.6,1.6
HRV,41,191,191,Croatia,0,4190,-,-,4190,41.1,103.2,4.9
CUB,41,192,192,Cuba,0,5013,-,-,5013,19.9,44.3,2.3
CYP,41,196,196,Cyprus,0,568,-,-,568,24.1,46.4,2.7
CZE,41,203,203,Czechia,0,7568,-,-,7568,30.5,70.5,3.7
BEN,41,204,204,Benin,0,498,-,-,498,6.9,3.9,0.74
DNK,41,208,208,Denmark,0,6878,-,-,6878,48.1,117.9,5.6
DOM,41,214,214,Dominican Republic,0,1782,-,-,1782,14.7,16.1,1.7
ECU,41,218,218,Ecuador,0,2531,-,-,2531,12.4,14.0,1.4
SLV,41,222,222,El Salvador,0,692,-,-,692,8.7,10.6,0.90
GNQ,41,226,226,Equatorial Guinea,0,49,-,-,49,5.6,3.3,0.64
ETH,41,231,231,Ethiopia,0,6551,-,-,6551,9.0,5.4,1.0
ERI,41,232,232,Eritrea,0,169,-,-,169,6.9,4.6,0.76
EST,41,233,233,Estonia,0,1074,-,-,1074,31.8,81.3,3.8
FJI,41,242,242,Fiji,0,96,-,-,96,11.5,10.6,1.2
FIN,41,246,246,Finland,0,4020,-,-,4020,26.8,72.4,3.0
FRA,41,250,250,France (metropolitan),0,51636,-,-,51636,32.1,78.7,3.7
GUF,41,254,254,French Guyana,0,46,-,-,46,16.2,14.6,1.9
PYF,41,258,258,French Polynesia,0,48,-,-,48,11.9,16.9,1.3
DJI,41,262,262,Djibouti,0,58,-,-,58,6.4,5.7,0.74
GAB,41,266,266,Gabon,0,109,-,-,109,6.8,4.7,0.77
GEO,41,268,268,Georgia,0,1125,-,-,1125,14.5,28.4,1.8
GMB,41,270,270,The Republic of the Gambia,0,37,-,-,37,2.6,1.5,0.28
PSE,41,275,275,Gaza Strip and West Bank,0,553,-,-,553,18.3,10.4,2.2
DEU,41,276,276,Germany,0,62544,-,-,62544,25.7,74.6,3.0
GHA,41,288,288,Ghana,0,986,-,-,986,4.7,3.0,0.51
GRC,41,300,300,Greece,0,7859,-,-,7859,26.8,76.2,3.2
GLP,41,312,312,"France, Guadeloupe",0,200,-,-,200,22.8,50.0,2.7
GUM,41,316,316,Guam,0,41,-,-,41,16.0,23.9,1.8
GTM,41,320,320,Guatemala,0,894,-,-,894,6.2,4.8,0.68
GIN,41,324,324,Guinea,0,201,-,-,201,2.8,1.5,0.30
GUY,41,328,328,Guyana,0,79,-,-,79,8.8,10.0,0.91
HTI,41,332,332,Haiti,0,1103,-,-,1103,11.3,9.4,1.0
HND,41,340,340,Honduras,0,570,-,-,570,7.1,5.6,0.87
HUN,41,348,348,Hungary,0,9607,-,-,9607,44.2,100.0,5.4
ISL,41,352,352,Iceland,0,215,-,-,215,31.0,62.3,3.6
IND,41,356,356,India,0,70038,-,-,70038,4.9,5.0,0.58
IDN,41,360,360,Indonesia,0,35676,-,-,35676,12.1,12.8,1.4
IRN,41,364,364,"Iran, Islamic Republic of",0,12899,-,-,12899,13.9,15.0,1.6
IRQ,41,368,368,Iraq,0,2320,-,-,2320,8.9,5.5,1.0
IRL,41,372,372,Ireland,0,3121,-,-,3121,32.3,62.2,3.6
ISR,41,376,376,Israel,0,3240,-,-,3240,24.8,36.3,2.7
ITA,41,380,380,Italy,0,54784,-,-,54784,30.6,90.9,3.6
CIV,41,384,384,"Côte d'Ivoire",0,1057,-,-,1057,7.2,3.8,0.82
JAM,41,388,388,Jamaica,0,793,-,-,793,20.2,26.6,2.3
JPN,41,392,392,Japan,0,145756,-,-,145756,36.6,116.1,4.3
KAZ,41,398,398,Kazakhstan,0,3514,-,-,3514,15.5,18.3,2.0
JOR,41,400,400,Jordan,0,1274,-,-,1274,16.5,12.4,1.9
KEN,41,404,404,Kenya,0,3091,-,-,3091,11.1,5.5,1.3
PRK,41,408,408,"Korea, Democratic People's Republic of",0,7228,-,-,7228,19.0,27.8,2.3
KOR,41,410,410,"Korea, Republic of",0,29560,-,-,29560,26.5,57.6,3.1
KWT,41,414,414,Kuwait,0,436,-,-,436,11.2,10.0,1.3
KGZ,41,417,417,Kyrgyzstan,0,437,-,-,437,7.9,6.5,0.95
LAO,41,418,418,"Lao People's Democratic Republic",0,781,-,-,781,14.1,10.4,1.6
LBN,41,422,422,Lebanon,0,1005,-,-,1005,12.9,15.0,1.5
LSO,41,426,426,Lesotho,0,97,-,-,97,5.8,4.5,0.65
LVA,41,428,428,Latvia,0,1127,-,-,1127,23.5,61.0,3.0
LBR,41,430,430,Liberia,0,142,-,-,142,4.5,2.7,0.52
LBY,41,434,434,Libya,0,974,-,-,974,15.9,13.8,1.6
LTU,41,440,440,Lithuania,0,1506,-,-,1506,21.8,56.6,2.7
LUX,41,442,442,Luxembourg,0,316,-,-,316,23.6,49.2,2.6
MDG,41,450,450,Madagascar,0,942,-,-,942,5.7,3.2,0.63
MWI,41,454,454,Malawi,0,512,-,-,512,4.9,2.5,0.52
MYS,41,458,458,Malaysia,0,7150,-,-,7150,19.7,21.6,2.2
MDV,41,462,462,Maldives,0,50,-,-,50,11.8,9.2,1.3
MLI,41,466,466,Mali,0,908,-,-,908,8.9,4.2,0.99
MLT,41,470,470,Malta,0,301,-,-,301,27.0,67.8,3.0
MTQ,41,474,474,"France, Martinique",0,212,-,-,212,21.7,56.7,2.5
MRT,41,478,478,Mauritania,0,183,-,-,183,6.2,3.7,0.71
MUS,41,480,480,Mauritius,0,370,-,-,370,16.9,29.0,2.1
MEX,41,484,484,Mexico,0,16082,-,-,16082,10.9,12.2,1.3
MNG,41,496,496,Mongolia,0,216,-,-,216,7.6,6.4,0.90
MDA,41,498,498,Republic of Moldova,0,1868,-,-,1868,27.5,46.6,3.6
MNE,41,499,499,Montenegro,0,260,-,-,260,21.3,41.4,2.6
MAR,41,504,504,Morocco,0,5306,-,-,5306,12.3,14.1,1.4
MOZ,41,508,508,Mozambique,0,651,-,-,651,3.9,2.0,0.43
OMN,41,512,512,Oman,0,431,-,-,431,11.1,8.1,1.3
NAM,41,516,516,Namibia,0,146,-,-,146,8.7,5.5,1.0
NPL,41,524,524,Nepal,0,1198,-,-,1198,4.4,4.0,0.49
NLD,41,528,528,The Netherlands,0,17670,-,-,17670,42.8,102.7,5.2
NCL,41,540,540,New Caledonia,0,91,-,-,91,22.0,31.3,2.6
VUT,41,548,548,Vanuatu,0,13,-,-,13,6.8,4.0,0.95
NZL,41,554,554,New Zealand,0,4070,-,-,4070,39.0,83.1,4.4
NIC,41,558,558,Nicaragua,0,610,-,-,610,9.8,9.0,1.1
NER,41,562,562,Niger,0,764,-,-,764,5.9,2.9,0.65
NGA,41,566,566,Nigeria,0,8114,-,-,8114,7.5,3.7,0.89
NOR,41,578,578,Norway,0,5617,-,-,5617,45.3,101.9,5.1
PAK,41,586,586,Pakistan,0,9447,-,-,9447,5.4,4.1,0.59
PAN,41,591,591,Panama,0,820,-,-,820,15.1,18.4,1.8
PNG,41,598,598,Papua New Guinea,0,646,-,-,646,11.7,7.0,1.3
PRY,41,600,600,Paraguay,0,1494,-,-,1494,21.0,20.5,2.4
PER,41,604,604,Peru,0,4943,-,-,4943,11.4,14.7,1.2
PHL,41,608,608,Philippines,0,20736,-,-,20736,20.8,18.4,2.5
POL,41,616,616,Poland,0,26888,-,-,26888,30.9,71.3,3.8
PRT,41,620,620,Portugal,0,10575,-,-,10575,37.8,104.3,4.5
GNB,41,624,624,Guinea-Bissau,0,44,-,-,44,3.9,2.1,0.48
TLS,41,626,626,Timor-Leste,0,80,-,-,80,8.8,5.8,0.94
PRI,41,630,630,Puerto Rico,0,1843,-,-,1843,27.8,65.1,3.2
QAT,41,634,634,Qatar,0,182,-,-,182,9.3,6.1,1.1
REU,41,638,638,"France, La Réunion",0,328,-,-,328,20.7,36.1,2.5
ROU,41,642,642,Romania,0,13541,-,-,13541,32.2,71.2,3.9
RUS,41,643,643,Russian Federation,0,83693,-,-,83693,29.4,57.4,3.7
RWA,41,646,646,Rwanda,0,353,-,-,353,4.2,2.6,0.49
LCA,41,662,662,Saint Lucia,0,34,-,-,34,12.3,18.4,1.4
STP,41,678,678,Sao Tome and Principe,0,8,-,-,8,6.3,3.5,0.78
SAU,41,682,682,Saudi Arabia,0,3750,-,-,3750,11.7,10.5,1.3
SEN,41,686,686,Senegal,0,609,-,-,609,6.2,3.5,0.68
SRB,41,688,688,Serbia,0,5489,-,-,5489,30.2,63.4,3.6
SLE,41,694,694,Sierra Leone,0,12,-,-,12,0.24,0.14,0.02
SGP,41,702,702,Singapore,0,4007,-,-,4007,34.0,67.4,3.9
SVK,41,703,703,Slovakia,0,4219,-,-,4219,35.7,77.3,4.3
VNM,41,704,704,Viet Nam,0,16835,-,-,16835,13.9,17.0,1.7
SVN,41,705,705,Slovenia,0,1580,-,-,1580,30.5,76.0,3.7
SOM,41,706,706,Somalia,0,755,-,-,755,9.2,4.5,1.1
ZAF,41,710,710,South Africa,0,7338,-,-,7338,13.5,12.1,1.6
ZWE,41,716,716,Zimbabwe,0,773,-,-,773,9.7,5.0,1.2
ESP,41,724,724,Spain,0,39421,-,-,39421,33.8,84.4,4.1
SSD,41,728,728,South Sudan,0,388,-,-,388,5.7,3.3,0.65
SDN,41,729,729,Sudan,0,1704,-,-,1704,5.5,3.7,0.55
SUR,41,740,740,Suriname,0,125,-,-,125,18.7,20.9,2.3
SWZ,41,748,748,Eswatini,0,37,-,-,37,4.9,3.1,0.57
SWE,41,752,752,Sweden,0,7699,-,-,7699,31.2,75.3,3.6
CHE,41,756,756,Switzerland,0,5423,-,-,5423,26.3,61.8,3.0
SYR,41,760,760,Syrian Arab Republic,0,1626,-,-,1626,10.9,8.4,1.1
TJK,41,762,762,Tajikistan,0,365,-,-,365,5.6,3.7,0.59
THA,41,764,764,Thailand,0,20173,-,-,20173,15.9,28.8,1.9
TGO,41,768,768,Togo,0,354,-,-,354,7.5,4.1,0.84
TTO,41,780,780,Trinidad and Tobago,0,418,-,-,418,18.5,29.7,2.0
ARE,41,784,784,United Arab Emirates,0,550,-,-,550,11.5,5.5,1.4
TUN,41,788,788,Tunisia,0,1839,-,-,1839,11.9,15.3,1.4
TUR,41,792,792,Türkiye,0,21718,-,-,21718,19.8,25.4,2.3
TKM,41,795,795,Turkmenistan,0,323,-,-,323,5.9,5.2,0.69
UGA,41,800,800,Uganda,0,1394,-,-,1394,7.3,2.9,0.89
UKR,41,804,804,Ukraine,0,20887,-,-,20887,24.2,48.4,3.2
MKD,41,807,807,North Macedonia,0,900,-,-,900,23.5,43.2,2.9
EGY,41,818,818,Egypt,0,5940,-,-,5940,6.4,5.6,0.70
GBR,41,826,826,United Kingdom,0,49429,-,-,49429,30.9,72.2,3.5
TZA,41,834,834,"Tanzania, United Republic of",0,2185,-,-,2185,6.8,3.5,0.75
USA,41,840,840,United States of America,0,160186,-,-,160186,27.0,47.8,3.1
BFA,41,854,854,Burkina Faso,0,460,-,-,460,3.4,2.1,0.31
URY,41,858,858,Uruguay,0,2092,-,-,2092,31.0,59.8,3.6
UZB,41,860,860,Uzbekistan,0,2779,-,-,2779,9.0,8.1,1.1
VEN,41,862,862,Venezuela,0,6384,-,-,6384,18.7,21.8,2.2
WSM,41,882,882,Samoa,0,42,-,-,42,25.3,20.8,3.3
YEM,41,887,887,Yemen,0,1572,-,-,1572,9.1,5.1,1.0
ZMB,41,894,894,Zambia,0,455,-,-,455,5.1,2.3,0.59
,,,,Total,,1925828,,,1925828,18.4,24.4,2.1