country_name,country_code,obesity_value,obesity_high,obesity_low,activity_value,activity_high,activity_low,gdp_per_capita_2022,asr_world,new_cases,crude_rate,cancer_index,log_gdp,middle_east_flag,continent,region,z_cancer_index,z_obesity,z_physical_activity,z_log_gdp
Afghanistan,AFG,19.22,22.2,16.33,66.64,76.96000000000001,55.78,357.261152798144,5.6,1163,2.9,5.6,5.878467034791953,False,Asia,Asia,-0.9705653694396008,-0.24047738009794886,-0.4773450217141024,-2.043674040630801
Albania,ALB,23.36,26.48,20.43,75.72,90.95,54.11,7756.96188744253,10.2,522,18.2,10.2,8.95634602716728,False,Europe,Europe,-0.5487187108926063,0.14074998034330227,0.21827129636425197,0.10776106243632144
Algeria,DZA,23.81,27.25,20.51,70.96000000000001,80.97,60.12,4960.30334332888,17.1,7747,17.1,17.1,8.509222175778113,False,Africa,Africa,0.08405127692788592,0.18218773691300338,-0.1463910025402592,-0.20477817373255655
Angola,AGO,11.47,16.03,7.63,82.67,94.51,63.58,3682.1131513698,4.6,805,2.3,4.6,8.21124209227407,False,Africa,Africa,-1.062271164775904,-0.9541276321316916,0.7507088966555037,-0.41306602821078603
Azerbaijan,AZE,26.55,29.97,23.21,76.08,84.68,65.52000000000001,7770.594223351,14.2,1741,16.9,14.2,8.958101917059256,False,Asia,Asia,-0.1818955295473935,0.4344976324707398,0.24585079796207213,0.10898842815150284
Argentina,ARG,35.36,38.15,32.56,61.49,71.53999999999999,51.06,13962.1894087223,24.2,15863,34.5,24.2,9.544108198454824,False,America,Americas,0.7351624238156383,1.245756822202001,-0.8718851140162527,0.5186063785437882
Australia,AUS,30.24,33.22,27.44,74.53,80.56,67.78,65169.5191118657,34.6,17088,65.6,34.6,11.084747140319083,False,Oceania,Oceania,1.6889026953131916,0.7742872363422895,0.12710572163812417,1.5955118413283897
Austria,AUT,15.37,18.31,12.67,80.24,84.51,75.64,52336.7725223758,21.8,4539,50.1,21.8,10.86545451049114,False,Europe,Europe,0.5150685150085108,-0.5950004085276147,0.5645472608702167,1.4422264578469437
Bahamas,BHS,47.26,51.31,43.42,62.83,73.07,52.41,34957.1613279737,19.3,96,24.0,19.3,10.461878628760337,False,America,Americas,0.28580402666775284,2.341555273711877,-0.7692280802910333,1.1601272197489445
Bahrain,BHR,36.13,43.3,29.29,61.39,80.61,39.35,30470.5219276023,13.5,157,8.8,13.5,10.324515001061876,True,Asia,Middle East,-0.24608958628280567,1.3166614278879345,-0.879546086682314,1.064110147197616
Bangladesh,BGD,5.3,6.21,4.49,79.7,85.67,72.78999999999999,2716.48592780431,3.6,5723,3.4,3.6,7.9070943857110185,False,Asia,Asia,-1.1539769601122072,-1.5222853166540393,0.5231780084734869,-0.6256650465731404
Armenia,ARM,24.51,27.92,21.27,73.42,83.71000000000001,61.54,6571.97445545099,22.0,1127,37.9,22.0,8.790569592273615,False,Asia,Asia,0.5334096740757713,0.2466464693547611,0.0420689250448452,-0.008116540996133695
Barbados,BRB,38.02,44.26,32.18,55.97,74.94,36.59,24387.0387293761,24.7,148,51.4,24.7,10.10180707052906,False,America,Americas,0.7810153214837899,1.4907000054806796,-1.2947708051828297,0.9084374710895929
Belgium,BEL,20.03,23.16,17.12,74.59,80.81,67.71000000000001,50605.7496677086,29.2,7949,68.1,29.2,10.831820478616793,False,Europe,Europe,1.1936914004971542,-0.1658894182724865,0.13170230523776105,1.4187162948381289
Bhutan,BTN,12.18,14.24,10.24,90.09,94.09,85.01,3711.32767981591,4.2,30,3.8,4.2,8.2191449567625,False,Asia,Asia,-1.0989534829104253,-0.8887480606550521,1.3191530684772428,-0.40754193187129
Bolivia (Plurinational State of),BOL,28.68,32.11,25.43,77.43,85.32,68.14,4219.46113742445,6.0,701,5.9,6.0,8.34746270632322,False,America,Americas,-0.9338830513050795,0.6306363469006587,0.34927392895389864,-0.3178479213415074
Bosnia Herzegovina,BIH,21.19,26.43,16.37,78.93,92.33,59.86,7655.59421024383,26.3,1855,57.1,26.3,8.943191928886375,False,Europe,Europe,0.9277445940218751,-0.05907209022614559,0.4641885189448162,0.09856635762146641
Botswana,BWA,18.29,22.17,14.74,77.72,87.61,65.85,8328.7090572666,4.5,89,3.7,4.5,9.027463748032948,False,Africa,Africa,-1.0714417443095343,-0.326115410341998,0.3714907496854754,0.15747229588622655
Brazil,BRA,28.14,30.64,25.66,59.6,68.57,50.24,9281.33282136864,19.8,60118,27.9,19.8,9.135760438459762,False,America,Americas,0.33165692433590443,0.5809110390170173,-1.016677497404809,0.23317160112448398
Belize,BLZ,42.32,46.71,37.91,58.48,79.16,36.25,7068.21728043145,6.0,21,5.1,6.0,8.863363574397674,False,America,Americas,-0.9338830513050795,1.8866607904800463,-1.1024803912646943,0.042766397813906454
Solomon Islands,SLB,22.6,26.86,18.58,82.53999999999999,90.77,72.05,1877.78104490956,4.6,19,2.6,4.6,7.537846063466097,False,Oceania,Oceania,-1.062271164775904,0.07076621369225153,0.7407496321896234,-0.8837693463829526
Brunei Darussalam,BRN,31.71,36.09,27.41,67.47,79.21000000000001,54.31,36632.9280952155,31.8,153,34.4,31.8,10.508702789657383,False,Asia,Asia,1.4321264683715427,0.9096505744699802,-0.4137589485857948,1.1928572730340552
Bulgaria,BGR,20.59,23.09,18.2,67.72,75.43,59.52,13999.1949530956,30.2,5086,74.3,30.2,9.5467551035937,False,Europe,Europe,1.2853971958334574,-0.11432243231908065,-0.39460651692064186,0.5204565632470771
Myanmar,MMR,7.43,9.41,5.69,78.0,87.21000000000001,66.5,1158.05005055976,9.9,5552,10.1,9.9,7.054492878753113,False,Asia,Asia,-0.5762304494934971,-1.3261466022241202,0.3929414731504468,-1.2216328593238124
Burundi,BDI,5.02,8.37,2.9,85.73,95.9,69.34,302.992505263552,6.4,359,2.8,6.4,5.7137080700996625,False,Africa,Africa,-0.8972007331705583,-1.5480688096307422,0.9851346602369757,-2.158840433156984
Belarus,BLR,21.37,23.59,19.21,85.98,90.68,80.16,7994.64806074889,32.7,6160,65.3,32.7,8.986527604380312,False,Europe,Europe,1.5146616841742158,-0.04249698759826513,1.0042870919021287,0.1288579622309217
Cambodia,KHM,4.36,5.2,3.65,86.73,91.09,81.25,2325.03050040841,12.6,1726,10.1,12.6,7.75148843639064,False,Asia,Asia,-0.32862480208547856,-1.6088441859329707,1.0617443868975875,-0.7344334882315907
Cameroon,CMR,14.88,17.48,12.52,81.19,93.76,62.51,1604.87726954895,6.3,916,3.3,6.3,7.380802565069575,False,Africa,Africa,-0.9063713127041885,-0.6401215212368447,0.637326501197798,-0.9935426337655068
Canada,CAN,26.23,28.93,23.54,62.82,69.95,55.23,56256.8007264015,28.6,23725,61.8,28.6,10.937682214561326,False,America,Americas,1.1386679232953725,0.4050307833545078,-0.7699941775576392,1.492713568722806
Cape Verde,CPV,15.77,18.13,13.61,68.77,77.8,58.91,4323.31362032709,5.5,28,4.9,5.5,8.371777428954365,False,Africa,Africa,-0.9797359489732311,-0.5581668471323247,-0.3141663039269998,-0.30085194849151103
Central African Republic,CAF,9.3,12.16,6.86,83.47,94.77,65.53,467.359825026238,5.7,153,3.1,5.7,6.147099464251818,False,Africa,Africa,-0.9613947899059706,-1.1539497027011396,0.8119966779839929,-1.8559001742787218
Sri Lanka,LKA,10.56,12.28,8.99,62.82,71.52,54.2,3342.63650253855,7.8,2540,11.8,7.8,8.114515146598043,False,Asia,Asia,-0.7688126196997337,-1.0379239843059762,-0.7699941775576392,-0.48067809056131716
Chad,TCD,6.69,9.64,4.46,82.15,93.37,65.16,966.036468278568,2.3,228,1.3,2.3,6.873201585341103,False,Africa,Africa,-1.2731944940494013,-1.3942886908054066,0.7108718387919859,-1.348355337203306
Chile,CHL,38.91,43.01,34.82,61.79,71.49,51.42,15405.6165774073,20.3,6778,35.2,20.3,9.642487434728823,False,America,Americas,0.37750982200405603,1.572654679585199,-0.8489021960180694,0.5873733907808326
China,CHN,8.28,9.4,7.26,76.17,82.33,69.21000000000001,12970.6056414327,20.1,517106,36.6,20.1,9.47044097178179,False,Asia,Asia,0.35916866293679545,-1.2478752842591292,0.2527456733615274,0.46711304245013774
Colombia,COL,23.62,26.22,21.09,65.57,85.18,42.91,6680.44506854481,16.4,11163,21.7,16.4,8.806939891338876,False,America,Americas,0.01985722019247343,0.16469179525024089,-0.5593174292409575,0.0033262857504533713
Comoros,COM,16.28,20.05,12.85,82.8,92.36,69.05,1465.479642862,3.7,17,1.9,3.7,7.289937869138057,False,Africa,Africa,-1.1448063805785769,-0.5112040563533299,0.7606681611213829,-1.057056987949302
"Congo, Republic of",COG,8.54,11.22,6.22,84.03,95.14,66.62,2620.83804267402,4.8,168,2.9,4.8,7.871249409225721,False,Africa,Africa,-1.0439300057086434,-1.2239334693521906,0.8548981249139356,-0.6507206582037881
"Congo, Democratic Republic of",COD,6.64,8.63,4.87,85.13,95.66,69.03999999999999,687.738587554685,6.0,2961,3.1,6.0,6.533408805780686,False,Africa,Africa,-0.9338830513050795,-1.3988928859798178,0.9391688242406081,-1.585870234808443
Costa Rica,CRI,31.39,35.77,27.25,50.34,65.07,35.870000000000005,13625.9008491328,14.3,1121,21.6,14.3,9.519727734713333,False,America,Americas,-0.17272495001376306,0.8801837253537482,-1.7260835662820735,0.5015644527070556
Croatia,HRV,30.62,33.79,27.41,71.55,78.68,63.52,18465.5414420364,41.1,4190,103.2,41.1,9.823661649469079,False,Europe,Europe,2.284990364999162,0.8092791196678152,-0.10119126381049909,0.7140140307567385
Cyprus,CYP,22.94,29.7,16.91,59.17,67.86,50.21,33231.04296875,24.1,568,46.4,24.1,10.411239747216316,True,Asia,Middle East,0.7259918442820082,0.10207474087824797,-1.049619679868872,1.1247306795978367
Czechia,CZE,25.98,28.63,23.46,76.63,82.98,69.66,28282.2236715857,30.5,7568,70.5,30.5,10.249988747456268,False,Europe,Europe,1.3129089344343485,0.38200980748245156,0.28798614762540836,1.0120163519235372
Benin,BEN,11.17,13.42,9.17,81.98,90.17,71.3,1266.42711031904,6.9,498,3.9,6.9,7.143954915727939,False,Africa,Africa,-0.8513478355024067,-0.9817528031781592,0.6978481852596817,-1.1590989626968398
Denmark,DNK,13.28,15.47,11.31,87.86,91.81,83.06,67781.0940939514,48.1,6878,117.9,48.1,11.124038586871299,False,Europe,Europe,2.9269309323532844,-0.7874557668180047,1.1483133780240784,1.6229765329462644
Dominican Republic,DOM,29.34,33.07,25.74,62.98,82.81,40.15,10104.2449349081,14.7,1782,16.1,14.7,9.220710905116963,False,America,Americas,-0.13604263187924193,0.6914117232028871,-0.7577366212919416,0.29255191348926207
Ecuador,ECU,27.38,30.04,24.63,77.22,85.89,67.22999999999999,6515.58528418336,12.4,2531,14.0,12.4,8.781952321929632,False,America,Americas,-0.34696596115273914,0.5109272723659662,0.33318588635516955,-0.014140006491882866
El Salvador,SLV,30.88,35.4,26.59,60.77,74.18,46.76,5074.60210221806,8.7,692,10.6,8.7,8.532003397332442,False,America,Americas,-0.686277403897061,0.8332209345747534,-0.9270441172118931,-0.18885411698303906
Equatorial Guinea,GNQ,17.67,23.29,12.89,80.49,93.26,61.39,7589.29964909381,5.6,49,3.3,5.6,8.93449459328561,False,Africa,Africa,-0.9705653694396008,-0.3832074305046972,0.5836996925353696,0.09248692657138478
Ethiopia,ETH,2.82,3.68,2.08,90.57,95.37,83.82,982.103161506992,9.0,6551,5.4,9.0,6.889696355287955,False,Africa,Africa,-0.65876566529617,-1.750653397304837,1.3559257372743356,-1.3368255054040095
Estonia,EST,22.16,26.19,18.41,84.06,88.3,79.31,28340.3826549406,31.8,1074,81.3,31.8,10.252043015444999,False,Europe,Europe,1.4321264683715427,0.030249296157432454,0.857196416713754,1.01345228370416
Fiji,FJI,33.84,39.84,28.04,84.47,93.68,71.37,5414.12092119088,11.5,96,10.6,11.5,8.596765804832636,False,Oceania,Oceania,-0.429501176955412,1.1057892888998995,0.8886064046446046,-0.1435852428004561
Finland,FIN,21.51,24.38,18.8,90.42,93.77,86.24,50440.560224974,26.8,4020,72.4,26.8,10.828550896777168,False,Europe,Europe,0.9735974916900267,-0.029605241109913596,1.3444342782752445,1.4164308595888728
France (metropolitan),FRA,9.7,10.98,8.51,76.82,83.28,69.66,40988.6396406579,32.1,51636,78.7,32.1,10.62105022535698,False,Europe,Europe,1.4596382069724336,-1.11711614130585,0.30254199569092444,1.2713880461744098
Djibouti,DJI,11.35,18.07,6.18,83.02,94.83,65.12,3133.25779772463,6.4,58,5.7,6.4,8.049828572190243,False,Africa,Africa,-0.8972007331705583,-0.9651777005502787,0.7775223009867174,-0.5258939574692949
Gabon,GAB,21.02,25.09,17.37,79.18,92.85,59.76,8409.2074145028,6.8,109,4.7,6.8,9.0370825053038,False,Africa,Africa,-0.8605184150360369,-0.07472635381914398,0.4833409506099691,0.16419579999137734
Georgia,GEO,34.66,38.91,30.38,75.98,84.72,65.38,6729.84659930283,14.5,1125,28.4,14.5,8.814307628813294,False,Asia,Asia,-0.15438379094650248,1.1812980897602432,0.2381898252960114,0.008476328709228919
The Republic of the Gambia,GMB,14.93,17.97,12.27,78.85,90.05,64.41,836.244875868476,2.6,37,1.5,2.6,6.728921483912127,False,Africa,Africa,-1.2456827554485104,-0.6355173260624336,0.4580597408119663,-1.4492070196954845
Gaza Strip and West Bank,PSE,37.56,40.25,34.87,70.3,78.1,61.18,3799.95527015163,18.3,553,10.4,18.3,8.24274457463247,True,Asia,Middle East,0.19409823133144968,1.448341409876096,-0.19695342213626374,-0.3910458167120522
Germany,DEU,20.4,23.6,17.31,88.02,90.8,84.85,50506.5179638543,25.7,62544,74.6,25.7,10.829857675525991,False,Europe,Europe,0.8727211168200931,-0.1318183739818435,1.160570934289776,1.4173442969524355
Ghana,GHA,12.93,14.88,11.12,78.84,88.12,67.17,2229.89122647803,4.7,986,3.0,4.7,7.709708085900398,False,Africa,Africa,-1.0531005852422737,-0.8196851330388834,0.4572936435453609,-0.7636379218320763
Greece,GRC,27.98,31.35,24.73,64.8,72.81,56.32,20886.5243087629,26.8,7859,76.2,26.8,9.946859460083736,False,Europe,Europe,0.9735974916900267,0.5661776144589014,-0.6183069187696283,0.8001292078101541
Guatemala,GTM,26.81,30.34,23.54,63.17,76.14,49.32,5358.70156997677,6.2,894,4.8,6.2,8.586476980311613,False,America,Americas,-0.915541892237819,0.45843944737767806,-0.7431807732264251,-0.15077712341001304
Guinea,GIN,9.53,12.19,7.3,83.3,94.96,65.61,1416.59612011764,2.8,201,1.5,2.8,7.256012174446394,False,Africa,Africa,-1.2273415963812497,-1.132770404898848,0.7989730244516887,-1.080771023048275
Guyana,GUY,28.46,32.76,24.47,64.92,76.76,52.54,17913.4928066879,8.8,79,10.0,8.8,9.793309495956418,False,America,Americas,-0.6771068243634306,0.6103778881332493,-0.6091137515703545,0.6927978982568622
Haiti,HTI,10.69,13.33,8.37,71.7,89.22,50.51,1760.62635668777,11.3,1103,9.4,11.3,7.4734249092020235,False,America,Americas,-0.4478423360226726,-1.0259530768525071,-0.0896998048114069,-0.9287996848098928
Honduras,HND,29.49,36.48,23.35,63.22,83.87,40.85,3003.28996826399,7.1,570,5.6,7.1,8.007463622850228,False,America,Americas,-0.833006676435146,0.7052243087261207,-0.7393502868933947,-0.5555070252265263
Hungary,HUN,31.7,34.68,28.74,70.59,77.8,62.73,18428.028825614,44.2,9607,100.0,44.2,9.821628090283692,False,Europe,Europe,2.569278330541702,0.9087297354350978,-0.17473660140468586,0.7125925744140935
Iceland,ISL,21.23,26.23,16.66,74.08,90.16,53.34,76350.4550416502,31.0,215,62.3,31.0,11.243089270572046,False,Europe,Europe,1.3587618321025001,-0.055388734086616674,0.09263134464084867,1.706192871402853
India,IND,7.27,8.09,6.51,50.58,61.6,39.05,2347.44829434623,4.9,70038,5.0,4.9,7.761084185002244,False,Asia,Asia,-1.034759426175013,-1.3408800267822363,-1.707697231883527,-0.7277260671619664
Indonesia,IDN,11.23,13.1,9.51,81.0,87.96000000000001,72.88,4730.83484836107,12.1,35676,12.8,12.1,8.461856966622147,False,Asia,Asia,-0.37447769975363016,-0.9762277689688657,0.622770653132282,-0.23788641934412932
"Iran, Islamic Republic of",IRN,24.27,25.93,22.7,53.72,62.21,45.59,4721.20437099984,13.9,12899,15.0,13.9,8.459819209378395,True,Asia,Middle East,-0.20940726814828436,0.22454633251758693,-1.4671426901692062,-0.23931081012641717
Iraq,IRQ,40.49,45.24,36.04,47.98,61.51,34.52,6520.73154560584,8.9,2320,5.5,8.9,8.782741848873016,True,Asia,Middle East,-0.6679362448298003,1.7181472470965948,-1.9068825212011176,-0.013588127751678352
Ireland,IRL,28.35,32.36,24.46,78.08,83.36,72.42,105190.685952731,32.3,3121,62.2,32.3,11.563530038795156,False,Europe,Europe,1.4779793660396938,0.6002486587495447,0.3990702512832956,1.9301807276235905
Israel,ISR,22.49,25.72,19.46,73.44,89.56,52.37,54949.621556429,24.8,3240,36.3,24.8,10.914172072754894,True,Asia,Middle East,0.7901859010174204,0.06063698430854651,0.043601119578057124,1.4762799972647522
Italy,ITA,17.29,19.65,15.08,59.91,68.25,51.2,35653.9042103495,30.6,54784,90.9,30.6,10.481613934862926,False,Europe,Europe,1.3220795139679788,-0.41819931383022285,-0.9929284821400196,1.1739221838862832
Côte d'Ivoire,CIV,11.64,14.55,9.24,80.32,93.07,62.38,2333.37128301259,7.2,1057,3.8,7.2,7.755069403385334,False,Africa,Africa,-0.8238360969015158,-0.9384733685386933,0.5706760390030655,-0.7319303949929047
Jamaica,JAM,33.81,37.75,29.98,61.39,79.58,42.65,6626.47502388538,20.2,793,26.6,20.2,8.798828271187451,False,America,Americas,0.3683392424704256,1.1030267717952527,-0.879546086682314,-0.002343730640624416
Japan,JPN,5.54,6.53,4.64,55.25,66.27000000000001,44.16,34065.6438962526,36.6,145756,116.1,36.6,10.436044645018049,False,Asia,Asia,1.872314285985798,-1.5001851798168653,-1.34992980837847,1.142069284523775
Kazakhstan,KAZ,18.38,21.24,15.84,71.77,87.48,51.27,11255.3396437881,15.5,3514,18.3,15.5,9.32859793003239,False,Asia,Asia,-0.06267799561019931,-0.31782785902805777,-0.0843371239451646,0.3679648628428669
Jordan,JOR,38.51,41.44,35.68,71.77,80.75,61.83,4332.25159897931,16.5,1274,12.4,16.5,8.373842685607784,True,Asia,Middle East,0.02902779972610388,1.5358211181899093,-0.0843371239451646,-0.29940833564252817
Kenya,KEN,12.41,14.07,10.86,91.08,95.64,84.72,2109.56288513137,11.1,3091,5.5,11.1,7.654236041563953,False,Africa,Africa,-0.46618349508993334,-0.8675687628527603,1.394996697871248,-0.8024128391436305
"Korea, Republic of",KOR,7.33,8.15,6.54,41.94,47.62,36.32,34822.4048404971,26.5,29560,57.6,26.5,10.458016275856812,False,Asia,Asia,0.9460857530891357,-1.3353549925729427,-2.3696052702312125,1.1574274379714082
Kuwait,KWT,41.42,46.03,36.78,36.68,54.71,20.260000000000005,39981.7691035833,11.2,436,10.0,11.2,10.596178856789841,True,Asia,Middle East,-0.4570129155563031,1.803785277340644,-2.77257243246603,1.2540029782333966
Kyrgyzstan,KGZ,26.6,30.87,22.44,80.13,89.73,68.26,1739.72018344174,7.9,437,6.5,7.9,7.461479565162656,False,Asia,Asia,-0.7596420401661035,0.4391018276451511,0.5561201909375494,-0.9371494713181256
