country_name,region,middle_east_flag,PC1,PC2
Afghanistan,Asia,False,1.616162268476914,-1.3763323253319006
Albania,Europe,False,0.23825952485317442,-0.19879282508320512
Algeria,Africa,False,-0.06887274960927005,-0.19196977382101837
Angola,Africa,False,1.5454360316857383,0.17723765669154598
Azerbaijan,Asia,False,-0.07763892443939803,-0.1109132608350698
Argentina,Americas,False,-1.6295193152524714,-0.5326902438143177
Australia,Oceania,False,-2.1153800018044575,1.173066458107851
Austria,Europe,False,-0.596907298799681,1.365106460450581
Bahamas,Americas,False,-2.257946532383017,-1.011378600299353
Bahrain,Middle East,True,-1.488195961049256,-0.9407026361322904
Bangladesh,Asia,False,1.8944375469047279,0.17527638895177616
Armenia,Asia,False,-0.3668295568695618,0.20773995257490913
Barbados,Americas,False,-2.172199726041626,-0.7565439953353537
Belgium,Europe,False,-1.309970664665193,1.2712335106900263
Bhutan,Asia,False,1.7626235296416937,0.4815349296100689
Bolivia (Plurinational State of),Americas,False,0.5054379366291772,-0.6890857674774744
Bosnia Herzegovina,Europe,False,-0.3119224684180413,0.8611131923689336
Botswana,Africa,False,0.7599594689614152,-0.16633450362680746
Brazil,Americas,False,-0.9990371976064806,-0.6357538931676034
Belize,Americas,False,-0.8993499080713544,-2.0445015033574117
Solomon Islands,Oceania,False,1.330800718393807,-0.44372002673709365
Brunei Darussalam,Asia,False,-2.0336085821626595,0.505476868043182
Bulgaria,Europe,False,-1.0679014672640246,0.6863822450119383
Myanmar,Asia,False,1.8046177797781557,0.13654669969705444
Burundi,Africa,False,2.8680233074693984,0.12798977532075803
Belarus,Europe,False,-0.4150818437158522,1.5240459076904043
Cambodia,Asia,False,1.800258215767312,0.9721466175583799
Cameroon,Africa,False,1.6120060556453837,-0.13376658972277464
Canada,Americas,False,-1.966627422576656,0.4459906620755148
Cape Verde,Africa,False,0.8126725929327775,-0.5813108264198381
Central African Republic,Africa,False,2.4638426797332693,-0.09739054425699897
Sri Lanka,Asia,False,0.8527607794373558,-0.5865329745921359
Chad,Africa,False,2.3966234636818475,-0.06261188771200052
Chile,Americas,False,-1.634128492979621,-0.8433939320650786
China,Asia,False,0.23952803402608555,1.070945124801592
Colombia,Americas,False,-0.3195789017526495,-0.4095318257357468
Comoros,Africa,False,1.7599371958350583,-0.2683363487740568
"Congo, Republic of",Africa,False,1.8471092222345116,0.2987863660070699
"Congo, Democratic Republic of",Africa,False,2.4595050984046933,0.19383390930778777
Costa Rica,Americas,False,-1.3334134273484683,-1.4060811919897582
Croatia,Europe,False,-2.009902500907717,1.0659122595757569
Cyprus,Middle East,True,-1.510321867739395,0.06376058097393172
Czechia,Europe,False,-1.3278752577011,1.0563302645597552
Benin,Africa,False,1.8688472835634693,0.036597101595139764
Denmark,Europe,False,-1.600086765368771,3.2109643687432934
Dominican Republic,Americas,False,-0.7424685138843925,-0.7660228611881068
Ecuador,Americas,False,0.07828078883458968,-0.2222522737648534
El Salvador,Americas,False,-0.31582093380863574,-1.3940704655862197
Equatorial Guinea,Africa,False,0.86098982458024,0.02649741268192572
Ethiopia,Africa,False,2.5109758679379475,0.8439017754577648
Estonia,Europe,False,-0.9888092719818466,1.6355851016139749
Fiji,Oceania,False,0.1409791808991572,-0.23465209979152352
Finland,Europe,False,-0.7646254636379013,1.838660315442261
France (metropolitan),Europe,False,-0.8359306239840971,1.9094591035866648
Djibouti,Africa,False,1.544102160439988,0.25460378273612055
Gabon,Africa,False,0.5748498689770766,-0.09177062996885986
Georgia,Asia,False,-0.39097137152177386,-0.4711736770562811
The Republic of the Gambia,Africa,False,1.977359883538712,-0.5804595338766989
Gaza Strip and West Bank,Middle East,True,-0.6384339768714263,-0.795922282928684
Germany,Europe,False,-0.7405097706739988,1.7152821375241283
Ghana,Africa,False,1.5630040434177506,-0.1722403626012001
Greece,Europe,False,-1.489357937693297,0.15485986764372936
Guatemala,Americas,False,0.03211141789400058,-1.2251697151100198
Guinea,Africa,False,2.127378620435684,-0.015973108827335256
Guyana,Americas,False,-0.6033170452559276,-0.810046017459791
Haiti,Americas,False,1.2262723763692942,-0.13449067479614085
Honduras,Americas,False,0.11254720648068668,-1.4177645314014726
Hungary,Europe,False,-2.231206403996555,1.1325520906022475
Iceland,Europe,False,-1.631839695255964,1.380022278334003
India,Asia,False,0.8935785032016906,-1.2569647256467875
Indonesia,Asia,False,1.0503454233443532,0.5455063883099827
"Iran, Islamic Republic of",Middle East,True,-0.4604348829789575,-1.2042535805491281
Iraq,Middle East,True,-1.250880828621676,-2.337262954111282
Ireland,Europe,False,-2.0108497936334113,1.410137468695741
Israel,Middle East,True,-1.282393280401929,0.9081448280331447
Italy,Europe,False,-1.5718550450233684,0.681521934931682
Côte d'Ivoire,Africa,False,1.5306302741878868,0.08934013137131894
Jamaica,Americas,False,-1.071307957169237,-0.84216624950201
Japan,Asia,False,-1.4645181917642773,1.2462685033230845
Kazakhstan,Asia,False,-0.06807005785737368,0.17421188677156377
Jordan,Middle East,True,-0.6038708509086421,-0.8282286295961468
Kenya,Africa,False,1.694077307223253,0.7445521365396576
"Korea, Republic of",Asia,False,-1.4983474131355585,0.029758709356657805
Kuwait,Middle East,True,-2.5000058196343025,-2.3924328219948183
Kyrgyzstan,Asia,False,0.9572941994272561,-0.574314696238333
Lao People's Democratic Republic,Asia,False,1.5421843104227024,0.7455205919051756
Lebanon,Middle East,True,-0.937084745414794,-2.128669864900734
Lesotho,Africa,False,1.889555512916119,0.00105776133214594
Latvia,Europe,False,-0.5094424579333362,1.1186710431379703
Liberia,Africa,False,2.0515060751713032,-0.2842671207866963
Libya,Africa,False,-1.174029438075567,-1.5350506822000016
Lithuania,Europe,False,-0.7467413762520739,0.7618198782214552
Luxembourg,Europe,False,-0.9857982851867538,1.797834955581818
Madagascar,Africa,False,2.7462982657399446,0.2694244547757496
Malawi,Africa,False,2.8978622109772276,0.6413504479421678
Malaysia,Asia,False,-0.8112379056563254,-0.3122079833784139
Maldives,Asia,False,0.24628503711952543,0.21273973750226377
Mali,Africa,False,1.503212250216352,-0.4883692226155503
Malta,Europe,False,-2.0804076924492803,-0.15791794698949754
Mauritania,Africa,False,0.573483918606203,-1.3571167834573183
Mauritius,Africa,False,-0.18379541417926018,0.1106837645757028
Mexico,Americas,False,-0.6247177812710202,-0.7829279813547135
Mongolia,Asia,False,0.40821617067923716,-0.6115933765626577
Republic of Moldova,Europe,False,-0.004437831139977685,1.27334322449962
Montenegro,Europe,False,-0.10246379757058141,0.7199822788475994
Morocco,Africa,False,0.5341631948045898,-0.21624152463357166
Mozambique,Africa,False,2.6331516052034876,0.14372080721103062
Oman,Middle East,True,-1.1152357683952072,-1.0210562498665556
Namibia,Africa,False,0.7918297715803129,-0.18920308378625214
Nepal,Asia,False,2.438854109779711,0.5691701182380865
The Netherlands,Europe,False,-1.2660049022875217,2.987812033333407
Vanuatu,Oceania,False,1.3572126827059798,0.3258679094060581
New Zealand,Oceania,False,-2.1392068815203955,1.5155039347272703
Nicaragua,Americas,False,-0.15097906968067204,-1.6040167385605024
Niger,Africa,False,2.501328555867735,0.12675324944939145
Nigeria,Africa,False,1.4468814988297471,0.20029417896744542
Norway,Europe,False,-2.644409111257378,1.837559372428552
Pakistan,Asia,False,0.4727980459515671,-1.8039393053641761
Panama,Americas,False,-1.9264074628274062,-1.885896357278908
Papua New Guinea,Oceania,False,1.0405517694414013,0.35344610888348366
Paraguay,Americas,False,-0.9612212241285724,-0.654615135767348
Peru,Americas,False,-0.2876342162552385,-0.7980232265643475
Philippines,Asia,False,0.04134303440610767,-0.22882155144186786
Poland,Europe,False,-1.6739108736788628,0.27720117824123086
Portugal,Europe,False,-2.3155083351301085,0.228429512436509
Guinea-Bissau,Africa,False,2.1559800261529096,-0.19080432382710893
Timor-Leste,Asia,False,1.63374892716335,0.2153317695261677
Puerto Rico,Americas,False,-2.528165352546656,-0.528171498260574
Qatar,Middle East,True,-2.5058253222984477,-1.9161574661083123
Romania,Europe,False,-1.9332337758490188,0.03618761752369656
Russian Federation,Europe,False,-0.788654576849781,1.1929285031908816
Rwanda,Africa,False,2.6602118541958424,0.5321547944654995
Saint Lucia,Americas,False,-0.4140458435489183,-0.23932477680579015
Sao Tome and Principe,Africa,False,1.3996232130513488,-0.07982029560038376
Saudi Arabia,Middle East,True,-2.1022516757879925,-1.7813383544687549
Senegal,Africa,False,1.8974048691472034,0.15501570488293714
Serbia,Europe,False,-1.4091142326083517,-0.06539318739006691
Sierra Leone,Africa,False,2.6746415447854157,0.020705990501771694
Singapore,Asia,False,-1.432535099297794,2.0077944926988103
Slovakia,Europe,False,-1.4888362171714857,1.2263995902663318
Viet Nam,Asia,False,1.068764487276517,0.4547407713584381
Slovenia,Europe,False,-0.9043344359115839,1.5392118522728093
Somalia,Africa,False,1.9345570841687194,-0.17022273952290443
South Africa,Africa,False,-0.816090234752537,-1.3556003908031722
Zimbabwe,Africa,False,1.329138172303727,0.2219019356068817
Spain,Europe,False,-1.0110406716636968,1.7427244335902046
Sudan,Africa,False,1.7226834598186804,-0.37292730775289545
Suriname,Americas,False,-1.0779857679460396,-1.2244540612818846
Eswatini,Africa,False,0.6331555561619432,-0.6626644946627803
Sweden,Europe,False,-0.7033284352106369,2.383743894398406
Switzerland,Europe,False,-0.8839129279503832,1.89630544731901
Syrian Arab Republic,Middle East,True,0.13880326888652084,-1.6940497910152086
Tajikistan,Asia,False,0.8966460669460145,-1.4399811461533492
Thailand,Asia,False,0.22546676199622526,0.18091093486317242
Togo,Africa,False,2.043235545815342,0.14111928684578187
Trinidad and Tobago,Americas,False,-1.3945541041286231,-0.7144416657069586
United Arab Emirates,Middle East,True,-2.291478667307405,-2.0678753920867488
Tunisia,Africa,False,0.025741313538858668,-0.8529143430343116
Türkiye,Middle East,True,-1.4164562601599326,-1.0051668117125752
Turkmenistan,Asia,False,1.02441316542854,0.1801347665679107
Uganda,Africa,False,2.4975504916626368,0.7251459853082465
Ukraine,Europe,False,0.187109868790476,0.9135222011379269
North Macedonia,Europe,False,-0.6146994604362261,0.21285881132333087
Egypt,Middle East,True,-0.5501845008099988,-1.8528432061753433
United Kingdom,Europe,False,-1.4551130458453934,1.3634815719222417
"Tanzania, United Republic of",Africa,False,2.2619461753882786,0.613914637379956
United States of America,Americas,False,-2.6019238520822916,-0.06152272076755989
Burkina Faso,Africa,False,2.4350082230293895,-0.0003662053452914697
Uruguay,Americas,False,-1.8762298977968404,0.20867196415083333
Uzbekistan,Asia,False,0.2208158977588995,-1.1385095404606087
Venezuela,Americas,False,-0.43339185166012717,-0.9586851739509036
Samoa,Oceania,False,-1.5800601574830888,-0.6886304566646172
Zambia,Africa,False,2.0252532264832257,0.16513020124192015
